Infer ID,Module,API,Start Time,Duration(ns)
1,GE,Input,4127372699941200,1180
1,GE,Infer,4127372699942570,1113790
1,GE,Output,4127372701056640,2668503570
1,Task Scheduler,N/A,4127160317909429,204418929120
