Infer ID,Module,API,Start Time,Duration(ns)
1,GE,Input,3773213312451610,790
1,GE,Infer,3773213312452630,1463683810
1,GE,Output,3773214776136710,620820
1,Task Scheduler,N/A,3773056860308940,124846028540
