Model Name,Model ID,Stream ID,Fusion Op,Original Ops,Memory Input(Bytes),Memory Output(Bytes),Memory Weight(Bytes),Memory Workspace(Bytes),Memory Total(Bytes),Task IDs
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res2/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_4/res2/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_4/res2/batch_norm/gamma/dense/MatMul,generator/resblock_up_4/res2/batch_norm/gamma/dense/bias",32448,1568,0,0,34016,58
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res2/deconv_0/l2_normalize,"generator_1/resblock_up_4/res2/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_4/res2/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_4/res2/deconv_0/l2_normalize/Sum,generator_1/resblock_up_4/res2/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_4/res2/deconv_0/l2_normalize,generator_1/resblock_up_4/res2/deconv_0/l2_normalize/Square",13856,13856,0,36,27748,61
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1,"generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_4/res2/deconv_0/MatMul_1,generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1,generator_1/resblock_up_4/res2/deconv_0/l2_normalize_1/Square",1568,1568,0,0,3136,63
ge_default_20210418074351_41,5,675,generator_1/G_logit/l2_normalize,"generator_1/G_logit/l2_normalize/Rsqrt,generator_1/G_logit/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/G_logit/l2_normalize/Sum,generator_1/G_logit/l2_normalize/Maximum,generator_1/G_logit/l2_normalize,generator_1/G_logit/l2_normalize/Square",3488,3488,0,0,6976,70
ge_default_20210418074351_41,5,675,generator_1/G_logit/l2_normalize_1,"generator_1/G_logit/l2_normalize_1/Rsqrt,generator_1/G_logit/MatMul_1,generator_1/G_logit/l2_normalize_1/Sum,generator_1/G_logit/l2_normalize_1/Maximum,generator_1/G_logit/l2_normalize_1,generator_1/G_logit/l2_normalize_1/Square",64,64,0,36,164,72
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/skip/deconv_0/l2_normalize,"generator_1/resblock_up_4/skip/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_4/skip/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_4/skip/deconv_0/l2_normalize/Sum,generator_1/resblock_up_4/skip/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_4/skip/deconv_0/l2_normalize,generator_1/resblock_up_4/skip/deconv_0/l2_normalize/Square",13856,13856,0,36,27748,79
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1,"generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_4/skip/deconv_0/MatMul_1,generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1,generator_1/resblock_up_4/skip/deconv_0/l2_normalize_1/Square",3104,3104,0,0,6208,81
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res1/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_2/res1/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_2/res1/batch_norm/beta/dense/MatMul,generator/resblock_up_2/res1/batch_norm/beta/dense/bias",32448,1568,0,0,34016,89
ge_default_20210418074351_41,5,675,generator_1/resblock_up_2/res1/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_2/res1/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_2/res1/batch_norm/gamma/dense/MatMul,generator/resblock_up_2/res1/batch_norm/gamma/dense/bias",32448,1568,0,0,34016,91
ge_default_20210418074351_41,5,675,generator_1/dense/l2_normalize,"generator_1/dense/l2_normalize/Rsqrt,generator_1/dense/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/dense/l2_normalize/Sum,generator_1/dense/l2_normalize/Maximum,generator_1/dense/l2_normalize,generator_1/dense/l2_normalize/Square",128,128,0,36,292,94
